Date,estimated-transaction-volume-usd,estimated-transaction-volume,Output-volume,n-transactions-excluding-chains-longer-than-100,n-transactions-excluding-popular,n-unique-addresses,Cost-per-transaction,Transaction-fees,Miners-revenue,difficulty,Hash-rate,median-confirmation-time,n-transactions-per-block,n-orphaned-blocks,avg-block-size,trade-volume,market-price
2016-09-17,92793982.2665427,152553.93536841,1475509.56483543,134288,188780,376568,5.91294349193396,57.63998368,1239350.125,225832872179,1829872.71366204,8.5,1322.26380368098,0,0.754383938650307,8953094.94796302,608.006875
2016-09-18,101804671.492975,165789.45297361,1626466.70879886,115692,220874,369331,5.97873098455839,53.0225757,1112983.75,225832872179,1627800.88025151,7.7,1321.4,0,0.678307186206897,9289978.56372382,611.5859
2016-09-19,134760154.403919,221106.77036805,2074708.00794685,138893,244880,399754,4.71306962644832,66.12043758,1013869.98,225832872179,1493086.32464449,10.9666666666667,1680.75187969925,0,0.835041233082707,12354975.6769532,610.1965
2016-09-20,148383128.488273,243390.68069921,2304138.84372372,150612,235825,419627,4.87216267740786,69.34697102,1166565.275,225832872179,1717610.58398952,8.28333333333333,1620.83006535948,2,0.785474477124183,13349846.1244875,609.74875
2016-09-21,152507128.521997,255024.37839166,1867494.60631729,147081,228039,408180,5.34964437405477,64.96509855,1241468.76,225832872179,1863551.35256379,6.7,1441.06024096386,0,0.711351795180723,20607535.0871256,598.884875
2016-09-22,118467306.427236,198504.19977754,2326674.0280347,140995,219880,391223,4.71093543657528,62.72699094,1051860,225832872179,1582896.0283825,9.55,1639.90780141844,0,0.762582106382979,12923838.3341238,597.4226
2016-09-23,144015257.498247,238546.44122813,2253377.47809898,141956,206549,389323,4.76094942777752,60.05767564,1027531.44,225832872179,1526764.96354624,9.88333333333333,1641.08088235294,0,0.805261051470588,12358708.7830646,604.2225
2016-09-24,101454030.902097,168229.27836254,2031871.05284358,129762,193345,369379,6.15066094861494,59.4740433,1258908.625,225832872179,1874777.56553105,7,1260.53892215569,1,0.638012005988024,6905876.2885408,603.8854
2016-09-25,153681855.533673,256012.68642435,1861238.2534579,124190,227516,374974,7.22608776373133,50.00651953,1395674.25,234688749067,2230413.26476147,6.06666666666667,1060.74193548387,1,0.571385483870968,6562797.42036544,601.7472375
2016-09-26,151722294.058678,249096.67546451,2278155.60187445,148541,238511,430205,5.20758925814085,60.52560461,1165493.715,241227200229,1834694.78230379,6.95,1508.29411764706,0,0.770834411764706,14621404.8975316,608.1469625
2016-09-27,147525117.769907,244254.97163798,1775280.08270488,152623,230695,425011,5.40863978441359,63.63619115,1276511.73,241227200229,2026558.28894994,7.13333333333333,1437.91715976331,2,0.762229710059172,12980365.4284378,605.9622125
2016-09-28,150481349.962811,248972.30350724,2545689.05698079,152705,237287,433852,4.92474567059047,64.74431075,1119367.32,241227200229,1774737.43647687,9.05,1587.80405405405,0,0.782306155405405,9494530.32336664,605.679475
